"Event","Flight","Pool","Auction Order","Team","Players","Handicap","Seed","Status","Finishing Position"
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","30","Audit Team 030","Player 29 A / Player 29 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","31","Audit Team 031","Player 30 A / Player 30 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","32","Audit Team 032","Player 31 A / Player 31 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","33","Audit Team 033","Player 32 A / Player 32 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","34","Audit Team 034","Player 33 A / Player 33 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","35","Audit Team 035","Player 34 A / Player 34 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","36","Audit Team 036","Player 35 A / Player 35 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","37","Audit Team 037","Player 36 A / Player 36 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","38","Audit Team 038","Player 37 A / Player 37 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","39","Audit Team 039","Player 38 A / Player 38 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","40","Audit Team 040","Player 39 A / Player 39 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","41","Audit Team 041","Player 40 A / Player 40 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","42","Audit Team 042","Player 41 A / Player 41 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","43","Audit Team 043","Player 42 A / Player 42 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","44","Audit Team 044","Player 43 A / Player 43 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","45","Audit Team 045","Player 44 A / Player 44 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","46","Audit Team 046","Player 45 A / Player 45 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","47","Audit Team 047","Player 46 A / Player 46 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","48","Audit Team 048","Player 47 A / Player 47 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","49","Audit Team 049","Player 48 A / Player 48 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","50","Audit Team 050","Player 49 A / Player 49 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","51","Audit Team 051","Player 50 A / Player 50 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","52","Audit Team 052","Player 51 A / Player 51 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","53","Audit Team 053","Player 52 A / Player 52 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","54","Audit Team 054","Player 53 A / Player 53 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","55","Audit Team 055","Player 54 A / Player 54 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","56","Audit Team 056","Player 55 A / Player 55 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","57","Audit Team 057","Player 56 A / Player 56 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","58","Audit Team 058","Player 57 A / Player 57 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","59","Audit Team 059","Player 58 A / Player 58 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","60","Audit Team 060","Player 59 A / Player 59 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","61","Audit Team 061","Player 60 A / Player 60 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","62","Audit Team 062","Player 61 A / Player 61 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","63","Audit Team 063","Player 62 A / Player 62 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","64","Audit Team 064","Player 63 A / Player 63 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","65","Audit Team 065","Player 64 A / Player 64 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","66","Audit Team 066","Player 65 A / Player 65 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","67","Audit Team 067","Player 66 A / Player 66 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","68","Audit Team 068","Player 67 A / Player 67 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","69","Audit Team 069","Player 68 A / Player 68 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","70","Audit Team 070","Player 69 A / Player 69 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","71","Audit Team 071","Player 70 A / Player 70 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","72","Audit Team 072","Player 71 A / Player 71 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","73","Audit Team 073","Player 72 A / Player 72 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","74","Audit Team 074","Player 73 A / Player 73 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","75","Audit Team 075","Player 74 A / Player 74 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","76","Audit Team 076","Player 75 A / Player 75 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","77","Audit Team 077","Player 76 A / Player 76 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","78","Audit Team 078","Player 77 A / Player 77 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","79","Audit Team 079","Player 78 A / Player 78 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","80","Audit Team 080","Player 79 A / Player 79 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","81","Audit Team 081","Player 80 A / Player 80 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","82","Audit Team 082","Player 81 A / Player 81 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","83","Audit Team 083","Player 82 A / Player 82 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","84","Audit Team 084","Player 83 A / Player 83 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","85","Audit Team 085","Player 84 A / Player 84 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","86","Audit Team 086","Player 85 A / Player 85 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","87","Audit Team 087","Player 86 A / Player 86 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","88","Audit Team 088","Player 87 A / Player 87 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","89","Audit Team 089","Player 88 A / Player 88 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","90","Audit Team 090","Player 89 A / Player 89 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","91","Audit Team 091","Player 90 A / Player 90 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","92","Audit Team 092","Player 91 A / Player 91 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","93","Audit Team 093","Player 92 A / Player 92 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","94","Audit Team 094","Player 93 A / Player 93 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","95","Audit Team 095","Player 94 A / Player 94 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","96","Audit Team 096","Player 95 A / Player 95 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Championship Flight","Championship Flight","97","Audit Team 097","Player 96 A / Player 96 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","First Flight","First Flight","98","Audit Team 098","Player 97 A / Player 97 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Second Flight","Second Flight","99","Audit Team 099","Player 98 A / Player 98 B","","","UPCOMING",""
"Edwards County Calcutta — Four-flight Audit","Third Flight","Third Flight","100","Audit Team 100","Player 99 A / Player 99 B","","","UPCOMING",""
